X,Y,plz,einwohner,RS_gemname,RS_RegioStaRGem5,RS_nameStadtregion
5.97171628718126,51.0111806264718,"52538","21390",Gangelt,"55", 
6.01783185122116,51.7886820973311,"47559","10220",Kranenburg,"55",Nimwegen
6.08869227748506,51.0540069314084,"52525","49737","Heinsberg","53", 
6.03633397233466,50.7737578458451,"52074","30606","Aachen","52",Aachen
6.10426703798727,50.9268852652987,"52531","24238","Übach-Palenberg","54",Aachen
6.13106489457431,50.97330779072,"52511","26300","Geilenkirchen","53",Aachen
6.04971523750088,50.8219183313193,"52072","21256","Aachen","52",Aachen
6.12368760130811,51.6954350236405,"47574","32784","Goch","53", 
6.12485395071501,51.8030163168567,"47533","47480","Kleve","53",Nimwegen
6.09832175957026,50.8638901431429,"52134","46468","Herzogenrath","53",Aachen
6.14995510436282,50.715149824323,"52076","20248","Aachen","52",Aachen
6.07826372499549,50.7677578919289,"52064","22594","Aachen","52",Aachen
6.15424337540658,51.2048375784111,"41372","14966",Niederkrüchten,"54",Düsseldorf
6.09622578802201,50.7938368804163,"52070","22563","Aachen","52",Aachen
6.10445409717111,50.7576298674707,"52066","31839","Aachen","52",Aachen
6.16442091644597,51.2631453769318,"41379","15516","Brüggen, Burggemeinde","54",Düsseldorf
6.08644479249811,50.7770771484494,"52062","15989","Aachen","52",Aachen
6.14509498596966,51.1132024683207,"41849","16951","Wassenberg","54", 
6.15070961400492,50.8272111881464,"52146","37233","Würselen","53",Aachen
6.18234643423447,51.6211011053522,"47652","10077",Weeze,"55", 
6.12591609517367,50.7797899143979,"52068","15378","Aachen","52",Aachen
6.24842232227956,51.8501449348863,"46446","29948","Emmerich am Rhein","53",Nimwegen
6.15965742393868,50.787901450116,"52080","26232","Aachen","52",Aachen
6.17804562147136,50.0627281558111,"54689","2326",Daleiden,"55", 
6.20697475980214,51.7581310641894,"47551","12620",Bedburg-Hau,"54", 
6.16119501867713,50.7570280105448,"52078","29730","Aachen","52",Aachen
6.17548311966614,50.8686111531285,"52477","46553","Alsdorf","53",Aachen
6.16532071795673,50.1450784139847,"54617","531",Harspelt,"55", 
6.24950093936788,51.1427868815707,"41844","27947","Wegberg","54",Düsseldorf
6.18528450959121,50.9179580777382,"52499","26376","Baesweiler","53",Aachen
6.23080080723066,51.0431868294963,"41836","38969","Hückelhoven","53",Düsseldorf
6.25995524260761,50.0160842887264,"54673","3944",Hütten,"55", 
6.25028269370539,51.316438022098,"41334","41462","Nettetal","53",Düsseldorf
6.23479460912373,50.1334067187318,"54619","1691",Leidenborn,"55", 
6.19889923674323,51.5512606922446,"47624","2371","Kevelaer","53", 
